views,comments,AFRAID,AMUSED,ANGRY,ANNOYED,DONT_CARE,HAPPY,INSPIRED,SAD
1371482,230,0.096346129,0.125257925,0.112512932,0.132830609,0.131447312,0.104326878,0.194188102,0.103090113
870412,87,0.113880107,0.121575758,0.115288084,0.127288904,0.127343278,0.102773194,0.181448499,0.110402176
4772595,260,0.09221326,0.126480461,0.114645037,0.132154358,0.134381129,0.111920815,0.191938328,0.096266612
805111,295,0.1083631,0.114925027,0.119316441,0.135817505,0.126557634,0.107982973,0.183905652,0.103131668
1044185,127,0.106628477,0.106620522,0.126376517,0.135764242,0.127472756,0.10847212,0.180410199,0.108255167
1479503,124,0.086568998,0.125205158,0.109587058,0.131654191,0.139346222,0.110245084,0.193583062,0.103810227
1493606,220,0.092042984,0.120985281,0.11233893,0.133784393,0.130650845,0.100556866,0.205423606,0.104217096
404402,14,0.094653481,0.112785739,0.122510668,0.136343133,0.129099411,0.105216854,0.190074623,0.109316092
1136037,305,0.108237973,0.111065033,0.131656085,0.136853778,0.125446721,0.104384582,0.172051377,0.110304452
308879,22,0.103259092,0.12314637,0.113022886,0.129256177,0.130344163,0.110797399,0.183920644,0.106253269
3243784,261,0.102925981,0.111227281,0.117637617,0.129743833,0.128460184,0.106595259,0.190624685,0.112785159
1801117,240,0.109409844,0.119163151,0.1176012,0.129649058,0.125635547,0.107837849,0.181730945,0.108972406
1596067,392,0.112930218,0.125835705,0.112850637,0.130072308,0.125121606,0.098006815,0.190595208,0.104587502
1427723,150,0.116892201,0.115733607,0.117989382,0.129043616,0.123553934,0.100678904,0.183894625,0.112213731
1049727,145,0.100593879,0.121523469,0.112766557,0.130152028,0.133424281,0.106540177,0.189021018,0.10597859
854967,136,0.12426945,0.110643832,0.117239984,0.132289415,0.122898331,0.10335614,0.178982563,0.110320285
1107307,126,0.093535142,0.131269004,0.105242882,0.127266652,0.132931651,0.112974554,0.198420695,0.098359418
3387765,276,0.09653866,0.118290166,0.118783482,0.134804553,0.131889444,0.107215146,0.180995898,0.111482651
1788182,231,0.09306104,0.124821403,0.11003279,0.133581187,0.130835396,0.108031789,0.203989327,0.095647068
558993,80,0.093511107,0.113788545,0.121728726,0.140565574,0.131195928,0.104554621,0.185526526,0.109128973
648234,97,0.107493043,0.105541992,0.133764775,0.139754181,0.122158926,0.104026674,0.178288879,0.10897153
524049,108,0.105143587,0.10621321,0.12479455,0.133829935,0.124479695,0.10540619,0.187041596,0.113091237
1543596,174,0.094225647,0.111126689,0.114838406,0.125137209,0.125307958,0.107302501,0.201421505,0.120640084
335086,31,0.108809596,0.1119269,0.118655641,0.133522309,0.130286027,0.110744035,0.178392125,0.107663366
1216429,150,0.098353138,0.106744948,0.124445671,0.137942508,0.126249642,0.103471321,0.195061506,0.107731266
561703,77,0.094867337,0.11639359,0.121904718,0.135502894,0.129511917,0.103328371,0.188845545,0.109645626
836269,106,0.101537935,0.110009844,0.120129742,0.13288519,0.129001976,0.108227731,0.190838771,0.107368812
531957,60,0.077075946,0.122810913,0.105467664,0.128345157,0.14941969,0.111844117,0.201177271,0.103859242
727247,49,0.093639001,0.11245627,0.115414312,0.135237967,0.134489616,0.108340528,0.198478554,0.101943753
1575699,102,0.098807356,0.118626897,0.115651822,0.130581442,0.132116568,0.107620927,0.190396061,0.106198926
1013063,151,0.086435619,0.132568446,0.1145018,0.136148648,0.134160646,0.103478987,0.194812554,0.097893301
722877,126,0.109846179,0.101691575,0.133813365,0.140913823,0.117674252,0.106223656,0.178436391,0.11140076
3982352,304,0.108588634,0.115784592,0.117240837,0.125383585,0.131150831,0.104505583,0.176115064,0.121230874
1914263,124,0.094810675,0.121743381,0.127671632,0.140095135,0.126043378,0.105110349,0.187376226,0.097149223
2063367,677,0.112733737,0.109883273,0.134984877,0.134077102,0.120629176,0.100712264,0.169204153,0.117775417
507997,164,0.100582501,0.112285513,0.124104739,0.13514081,0.131764406,0.101583505,0.180158629,0.114379896
913666,65,0.107563198,0.124045571,0.121505623,0.128803508,0.122915861,0.100873594,0.184680981,0.109611665
1215947,83,0.087209721,0.125492632,0.105159236,0.12997665,0.139376491,0.106675849,0.204391368,0.101718053
1712075,169,0.117265709,0.120548733,0.115037662,0.126631626,0.122771932,0.101565962,0.185070118,0.111108257
736290,29,0.106108344,0.116774725,0.118125708,0.130326377,0.128302283,0.108093473,0.180697328,0.111571763
2627709,225,0.122108819,0.1244133,0.112160757,0.121098909,0.123007519,0.103357416,0.179142751,0.11471053
1609555,80,0.097227624,0.11779293,0.118584638,0.135639258,0.131127613,0.105117253,0.188719064,0.105791619
1212346,242,0.088945174,0.142676613,0.107252572,0.131409831,0.130878662,0.110115763,0.196648494,0.09207289
672254,45,0.086217638,0.121568164,0.115929111,0.131497991,0.133843839,0.105038902,0.197894406,0.10800995
694378,145,0.09609238,0.118210633,0.116679428,0.134553811,0.133410433,0.106624923,0.193149668,0.101278724
3930186,432,0.109861902,0.123857722,0.117266945,0.129441701,0.123594078,0.100207621,0.188004196,0.107765836
562457,64,0.109928135,0.108588041,0.124158183,0.134582449,0.125392102,0.110588997,0.176492563,0.110269529
1522858,262,0.103838948,0.114827484,0.11476101,0.133610593,0.128731404,0.101310051,0.189006961,0.113913549
7271730,412,0.097074937,0.116116193,0.114288227,0.131200037,0.127715625,0.102853623,0.201718333,0.109033027
1895259,328,0.095777847,0.117012093,0.122192183,0.139184582,0.129924128,0.108987859,0.189391427,0.097529882
410563,40,0.098020546,0.134435065,0.108638203,0.13180029,0.125437253,0.10754049,0.195935956,0.098192196
876658,279,0.11195511,0.115628085,0.117055618,0.132676125,0.125577725,0.103365013,0.1877284,0.106013925
898974,115,0.108492604,0.114057592,0.121172724,0.132830498,0.122814145,0.107348004,0.182332919,0.110951515
